number,didian,zhiwei,mingcheng
1,深圳,技术类,MIG07-电脑管家客户端开发工程师（深圳）
1,广州,职能类,WXG-招聘经理（广州）
1,深圳,技术类,MIG18-开放平台广告算法工程师（深圳）
1,北京,职能类,OMG-HRBP（北京）
2,深圳,技术类,23486-证券业务C++后台开发高级工程师（深圳）
1,广州,技术类,WXG03-113 微信开放平台后台开发工程师（广州）
1,成都,产品/项目类,15575-《王者荣耀》资深关卡策划（成都）
1,深圳,产品/项目类,22989-游戏行业云产品运营-海外方向（深圳）
1,深圳,技术类,SNG03-互动视频JAVA后台开发工程师（深圳）
1,深圳,技术类,SNG02-Web前端高级开发工程师（深圳）
9,深圳,技术类,SNG03-互动视频C++/C后台开发工程师（深圳）
1,深圳,产品/项目类,SNG03-互动视频合作运营经理（深圳）
1,深圳,技术类,SNG02-QQ多媒体通信后台高级工程师（深圳）
1,北京,内容编辑类,23675-媒体拓展高级经理
2,上海,产品/项目类,19332-高级产品运营经理（上海）
1,深圳,设计类,21062-高级游戏美术师
2,深圳,技术类,21062-高级unity客户端开发工程师（深圳）
1,深圳,设计类,21062-高级美术经理
1,深圳,技术类,18796-Windows客户端开发工程师（深圳）
1,深圳,客户服务类,HY2-投诉处理谈判专家（深圳）
1,深圳,产品/项目类,21228-体育游戏活动策划(深圳）
1,深圳,市场类,WXG06-213 微信支付城市商业拓展经理（深圳）
1,深圳,职能类,AQ-投后安全经理（深圳）
1,深圳,职能类,S2-游戏运营风控经理(深圳）
1,北京,技术类,OMG097-后台开发工程师（北京）
1,深圳,职能类,S2-财经外联与拓展经理（深圳）
1,深圳,产品/项目类,MIG03-EP改进项目经理（深圳/北京）
1,深圳,技术类,MIG03-智能产品测试经理（深圳）
4,成都,技术类,SNG07-云测试高级工程师（成都）
1,深圳,技术类,22989-腾讯云网络规划工程师（深圳）
0,深圳,产品/项目类,MIG18-应用宝联运游戏运营经理（深圳）
3,深圳,技术类,SNG06-QQ手游平台C++后台开发工程师（深圳）
1,深圳,产品/项目类,18402-内外部合作与市场推广接口人
1,深圳,产品/项目类,18402-移动游戏本地化商业化活动策划
1,深圳,产品/项目类,21227-移动游戏市场平台合作
1,深圳,产品/项目类,23516-移动游戏数据分析
1,深圳,设计类,17520-项目主美术（深圳）
1,深圳,技术类,15851-棋牌Web前端开发工程师（深圳）
1,深圳,产品/项目类,15665-棋牌游戏内容渠道管理
1,深圳,技术类,HY2-后台开发工程师（深圳）
1,深圳,技术类,HY2-数据分析开发师（深圳）
1,深圳,产品/项目类,HY2-心悦俱乐部产品经理（深圳）
1,深圳,技术类,HY2-海外游戏运维工程师（深圳）
1,深圳,产品/项目类,HY2-心悦俱乐部用户运营
1,深圳,技术类,HY2-游戏高级运维工程师（深圳）
1,上海,设计类,21229-UI设计师（上海）
1,上海,产品/项目类,TEG02-IDC网络项目经理（上海）
1,上海,技术类,HY2-高级前端开发工程师(上海)
1,北京,内容编辑类,22088-体育赛事运营经理（北京）
1,深圳,技术类,WXG06-122 微信支付商户数据挖掘工程师（深圳）
1,深圳,职能类,AQ-安全智库经理（深圳）
1,深圳,产品/项目类,15583-桌游用户与社区运营
1,深圳,技术类,19867-U3D客户端开发工程师（深圳）
2,深圳,技术类,19867-游戏后台高级开发工程师（深圳）
1,深圳,设计类,19867-游戏美术2D设计（深圳）
1,深圳,产品/项目类,19867-高级游戏策划（深圳）
1,深圳,技术类,15581-欢乐手游服务器开发工程师（深圳）
1,深圳,技术类,15581-欢乐手游服务器开发工程师（深圳）
1,深圳,设计类,15665-漫画美术指导
2,深圳,产品/项目类,15665-IP文学策划（深圳）
1,深圳,设计类,15665-2D角色设计师（深圳）
2,深圳,市场类,15712-互娱商业分析经理(深圳)
0,深圳,设计类,15687-技术美术
4,深圳,设计类,15687-3D游戏角色专家（深圳）
1,深圳,设计类,15687-高级游戏美术师（深圳）
1,深圳,技术类,15851-游戏引擎开发工程师（深圳）
1,深圳,技术类,15851-游戏AI开发工程师（深圳）
1,深圳,技术类,15851-游戏机器学习研究员（深圳）
1,深圳,技术类,15851-游戏后台开发主程序（深圳）
1,深圳,技术类,15851-游戏后台开发工程师（深圳）
1,深圳,技术类,15851-游戏前台开发工程师(客户端)（深圳）
1,北京,技术类,22989-腾讯云日志服务后台开发工程师（北京）
3,深圳,产品/项目类,22989-腾讯云PAAS产品中心产品经理（深圳）
1,深圳,技术类,22989-腾讯云运维交付工程师（深圳）
1,深圳,技术类,22989-腾讯云官网Web前端开发工程师（深圳/北京/上海/成都）
1,深圳,技术类,22989-腾讯云安全运维工程师（深圳）
1,成都,技术类,22989-腾讯云官网web前端开发工程师（成都）
2,深圳,技术类,SA-腾讯社交广告数据分析工程师（微信广告方向）
1,深圳,技术类,MIG03-高级智能创新产品测试开发工程师
1,深圳,技术类,20718-web前端开发工程师
1,深圳,技术类,MIG12-数据平台架构师（深圳）
1,深圳,技术类,MIG12-大数据平台高级架构师（深圳）
2,深圳,市场类,23295-媒介经理（产品传播方向）（深圳）
1,北京,设计类,15612-3D动画特效设计师（北京）
2,北京,设计类,15612-2D角色原画设计师（北京）
1,北京,设计类,MIG03-车联网视觉设计师（北京）
2,深圳,技术类,TEG11-GPU并行计算工程师（深圳）
2,深圳,产品/项目类,XN-产品运营经理（深圳）
2,深圳,技术类,WXG06-111 微信支付数据分析工程师（深圳）
1,深圳,技术类,18428-金融应用高级运维工程师（深圳）
3,深圳,设计类,SNG10-交互设计师（深圳）
1,深圳,产品/项目类,21229-高级游戏市场产品分析（深圳）
1,上海,产品/项目类,21229-高级游戏市场产品分析（上海）
1,深圳,职能类,HY-高管秘书（深圳）
1,北京,技术类,SA-腾讯社交广告高级运维工程师（北京 ）
1,上海,产品/项目类,15573-SLG类手游商业化策划（上海）
1,深圳,产品/项目类,SNG04-厘米秀高级产品运营（深圳）
1,北京,技术类,MIG16-腾讯地图自然语言处理高级工程师(北京)
1,深圳,技术类,SNG11-QQ业务高级技术运营工程师（深圳）
1,深圳,技术类,MIG12-大数据算法应用高级架构师（深圳）
2,深圳,产品/项目类,SNG03-国内考试/职业类目高级运营经理（深圳）
1,深圳,技术类,HY1-游戏测试组长（深圳）
1,成都,设计类,15575-天美L1手游高级UI设计师（成都）
1,深圳,产品/项目类,XN-竞猜产品运营经理（深圳）
1,北京,产品/项目类,23048-桌面QQ浏览器网页游戏运营经理（北京）
1,深圳,技术类,HY2-运营产品策划（深圳）
2,深圳,技术类,18796-Linux 后台开发工程师(深圳）
1,北京,技术类,23674-新闻客户端开发总监
2,深圳,技术类,22989-腾讯云资源运营系统开发工程师（深圳）
2,深圳,技术类,22989-腾讯云行业SAAS生态架构师（深圳/上海/北京）
2,深圳,技术类,22989-腾讯云平台生态架构师（深圳/上海/北京）
1,深圳,技术类,22989-数据库方向后台开发高级工程师（深圳）
1,深圳,技术类,22989-云计算研发工程师（深圳）
1,深圳,产品/项目类,MIG15-AI终端高级产品经理
2,北京,设计类,15612-3D角色设计师（北京）
2,深圳,技术类,TEG07-web前端开发工程师（深圳）
1,深圳,职能类,AQ-法律合作研究经理（深圳）
1,深圳,技术类,MIG18-开放平台-应用宝后台开发工程师（深圳）
2,深圳,技术类,SNG11-视频云高级业务运维工程师（深圳）
1,深圳,职能类,15582-业务流程管理（深圳）
2,深圳,技术类,20503-高性能计算软件架构开发工程师（深圳）
1,深圳,市场类,15582-游戏工作室品牌经理（深圳）
4,深圳,市场类,17467-SNG市场部-品牌经理（深圳）
1,深圳,产品/项目类,21309-IT类目经理（深圳）
2,深圳,技术类,SNG08-QQ空间WEB前端工程师（深圳）
2,深圳,产品/项目类,22989-营销云（高级）产品经理（深圳）
2,北京,技术类,SA-腾讯社交广告策略实验系统开发工程师（北京）
1,北京,职能类,BJ-员工福利经理（北京）
1,深圳,产品/项目类,19116-互联网+移动支付行业经理（深圳）
1,北京,产品/项目类,24548-电视剧商业制片人
1,深圳,技术类,22989-腾讯云高级web前端开发工程师（深圳）
1,深圳,技术类,SNG16-腾讯音乐音质检测与评估算法工程师（深圳）
1,深圳,技术类,SNG16-腾讯音乐全民K歌音频算法工程师（深圳）
1,深圳,技术类,SNG16-腾讯音乐音频算法工程师（深圳）
1,深圳,技术类,MIG07-PC客户端开发（企业安全方向）（深圳）
1,深圳,技术类,WXG02-154 微信游戏系统测试工程师（深圳）
1,济南,市场类,19116-互联网+商务拓展经理（济南）
1,深圳,产品/项目类,TEG13-数据产品经理（深圳）
2,上海,技术类,19332-AI算法工程师（上海）
2,上海,技术类,SNG08-图像算法岗位（上海）
1,深圳,产品/项目类,SNG16-腾讯音乐综艺运营策划（深圳）
2,北京,技术类,OMG097-业务运维（北京）
1,北京,技术类,22090-天天快报-IOS开发工程师（北京）
1,深圳,设计类,15571-3D场景设计师（深圳）
1,深圳,技术类,HY1-自然语言处理高级工程师（深圳）
1,深圳,技术类,HY1-客户端安全开发工程师（深圳）
1,深圳,技术类,18435-风控后台开发工程师（深圳）
1,深圳,技术类,18428-金融业务安全工程师
1,深圳,技术类,TEG03-机器学习平台高级工程师（深圳）
1,北京,内容编辑类,23673-新闻热点运营编辑（北京）
1,深圳,技术类,TEG09-机器学习平台研发工程师（深圳）
1,广州,技术类,WXG02-113 微信后台开发工程师（广州）
1,深圳,技术类,MIG18-开放平台-应用宝后台开发工程师（深圳）
1,深圳,市场类,MIG18-双百计划商业分析师（深圳）
1,深圳,产品/项目类,MIG06-AI内容服务产品策划经理（深圳）
1,深圳,产品/项目类,MIG06-AI高级产品策划经理（深圳）
1,深圳,产品/项目类,SNG16-QQ音乐绿钻产品运营（特权策划运营）
2,深圳,技术类,SNG04-手Q厘米秀IOS开发工程师（深圳）
1,深圳,设计类,SNG16-高级交互设计师（深圳）
1,深圳,职能类,HGJ-法务文员
1,深圳,技术类,HGJ-应用开发工程师
1,深圳,职能类,HGJ-Legal counsel
1,武汉,职能类,20765-区域政务经理
1,广州,职能类,FWZ-维权律师（广州）
1,深圳,职能类,CG-采购商务主管（深圳）
1,深圳,产品/项目类,TEG05-安全产品海外运营经理（深圳）
1,深圳,技术类,HY2-C++后台开发工程师（深圳）
1,深圳,产品/项目类,22989-腾讯云计费平台高级产品经理(深圳)
1,深圳,职能类,S2-高级内部控制分析师(深圳)
1,深圳,市场类,17467-企鹅电竞高级品牌经理（深圳）
1,深圳,技术类,SA-腾讯社交广告后台开发工程师内部广告方向（深圳）
1,深圳,技术类,TEG15-web前端开发工程师（深圳）
1,深圳,产品/项目类,23518-商业分析经理
1,深圳,产品/项目类,23518-移动游戏运营经理（创新品类）
1,深圳,产品/项目类,23518-流程管理经理（深圳）
1,北京,技术类,19116-互联网+行业大数据高级工程师（北京）
1,上海,技术类,19116-互联网+行业大数据高级工程师（上海）
1,成都,技术类,19116-互联网+行业大数据高级工程师（成都）
1,深圳,产品/项目类,TEG10-技术规划工程师（深圳）
2,深圳,技术类,21557-音视频实验室视频内核专家（深圳）
1,韩国,市场类,GY0-Senior Business Development Manager(Korea)
2,深圳,技术类,21557-音视频实验室计算机视觉开发高级工程师（深圳）
2,深圳,技术类,21557-音视频实验室音频内核专家（深圳）
2,深圳,技术类,21557-音视频实验室音频算法专家（深圳）
2,深圳,技术类,21557-音视频实验室视频网络专家（深圳）
1,北京,市场类,24549-创新策略经理（北京）
1,北京,内容编辑类,16810-腾讯动漫内容运营
1,成都,设计类,15575-《王者荣耀》3D场景资深设计师（成都）
1,北京,产品/项目类,19116-大数据产品及行业解决方案经理（北京/上海/深圳）
1,上海,产品/项目类,19116-大数据产品及行业解决方案经理（北京/上海/深圳）
1,深圳,产品/项目类,19116-大数据产品及行业解决方案经理（北京/上海/深圳）
1,北京,技术类,22086-数据分析（北京）
1,深圳,产品/项目类,19116-互联网+项目管理经理（深圳）
2,深圳,市场类,14914-营销研究经理（深圳）
2,深圳,产品/项目类,16541-音频策划（深圳）
2,深圳,技术类,TEG05-安全研究员（深圳）
1,北京,设计类,MIG16-自动驾驶仿真模拟系统-技术美术（北京）
2,深圳,技术类,TEG05-高级数据挖掘工程师（深圳）
1,深圳,技术类,TEG05-情报分析师（深圳）
5,深圳,职能类,18924-部门秘书（深圳）
1,深圳,产品/项目类,20589-海外游戏合作管理（深圳）
1,深圳,技术类,SNG11-腾讯云高级客户端开发工程师
2,上海,技术类,20503-视频AI算法研究员（上海）
1,深圳,技术类,HY2-前端高级开发工程师（深圳）
1,北京,市场类,SNG04-兴趣部落商务拓展高级经理（北京）
1,深圳,产品/项目类,SNG04-兴趣部落产品策划（深圳）
3,北京,产品/项目类,SNG04-兴趣部落运营经理（北京）
1,深圳,产品/项目类,SNG04-兴趣部落产品策划（深圳）
1,深圳,技术类,TEG05-web前端开发工程师（深圳）
1,深圳,设计类,15612-3D场景组长（深圳）
1,深圳,市场类,22990-行业策略规划岗（深圳）
1,深圳,技术类,TEG12-海外数据中心经理（深圳）
2,深圳,技术类,22989-智慧零售行业Web开发工程师（深圳）
2,深圳,技术类,18428-金融云后台开发工程师
1,广州,职能类,S2-数字广东网络建设有限公司财务总监（广州）
1,深圳,技术类,MIG03-后台测试开发高级工程师（深圳）
2,北京,产品/项目类,MIG16-地图数据项目经理（北京）
1,深圳,技术类,24111-可视化前端开发工程师
1,深圳,产品/项目类,20589-海外PM(深圳)
1,南京,技术类,19116-互联网+解决方案架构师
1,深圳,产品/项目类,19116-互联网+医疗产品运营经理（深圳）
1,深圳,技术类,19116-互联网+解决方案架构师
1,深圳,产品/项目类,18432-资产证券化产品组组长
4,北京,职能类,18432-政府事务总监（北京）
1,深圳,职能类,18432-政府事务副总监（北京)
1,北京,产品/项目类,22090-天天快报-短视频推荐策略产品经理（北京）
1,深圳,产品/项目类,SNG16-QQ音乐VIP产品运营经理（深圳）
1,深圳,技术类,MIG03-安全产品测试组长（深圳）
1,深圳,技术类,OMG097-Android客户端开发工程师（深圳）
2,上海,技术类,20503-深度学习应用研发工程师（上海）
1,上海,产品/项目类,15573-SLG类手游活动策划（上海）
3,北京,技术类,MIG16-地图质量工程师（北京）
1,深圳,市场类,23295-互娱媒介拓展经理（运营）（深圳）
1,深圳,职能类,AQ-情报分析经理
4,深圳,市场类,22990-腾讯云投资并购经理（深圳/北京/上海）
3,深圳,技术类,22989-腾讯云物联网方向研发（高级）工程师（深圳/北京/上海）
1,北京,产品/项目类,23671-短视频运营产品经理(北京）
1,北京,技术类,22086-体育产品后台开发（北京）
1,深圳,技术类,TEG15-Mysql数据库架构师（深圳）
2,北京,技术类,TEG15-Mysql数据库架构师（北京）
1,深圳,技术类,18796-Wegame平台测试工程师（深圳）
2,深圳,产品/项目类,17520-自研游戏策划（深圳）
2,深圳,产品/项目类,SNG06-QQ手游平台高级运营经理（深圳）
1,深圳,技术类,MIG07-PC安全开发工程师（腾讯电脑管家）（深圳）
3,深圳,技术类,22989-大数据和人工智能开发工程师 （深圳/北京/上海/成都）
2,深圳,产品/项目类,21090-射击类游戏市场推广（深圳）
1,深圳,技术类,22989-大数据和人工智能高级开发工程师 （深圳/北京/上海/成都）
1,北京,技术类,23674-腾讯新闻后台测试组长
2,北京,技术类,23674-新闻内容理解高级工程师（北京）
2,北京,技术类,23674-新闻推荐算法高级工程师（北京）
1,深圳,产品/项目类,15581-棋牌游戏研发策划(深圳)
1,上海,产品/项目类,19407-移动游戏市场品牌（上海）
1,上海,产品/项目类,19407-移动游戏社区运营策划（上海）
1,昆明,技术类,SNG02-腾讯云行业方案架构师（昆明）
1,昆明,技术类,SNG02-腾讯云应用业务开发工程师（昆明）
1,昆明,产品/项目类,SNG02-腾讯云行业高级运营经理（昆明）
1,昆明,产品/项目类,SNG02-腾讯云项目经理（昆明）
1,深圳,技术类,22989-云存储资深研发工程师
1,深圳,技术类,22989-腾讯云大数据开发工程师
2,北京,设计类,MIG03-地图品牌运营设计师
2,深圳,市场类,22990-腾讯云品牌经理招聘（深圳）
1,北京,市场类,19885-客户经理
1,深圳,技术类,OMG236-移动端研发工程师（深圳）
3,北京,技术类,MIG07-系统安全研究员（北京）
1,深圳,产品/项目类,XN-通讯充值产品策划经理（深圳）
1,深圳,产品/项目类,SNG08-微云产品经理（深圳）
1,深圳,技术类,22989-腾讯云网络运维高级工程师（深圳）
1,广州,职能类,AQ-内容安全系统验证经理
1,北京,职能类,AQ-内容安全系统验证经理
2,深圳,职能类,AQ-内容安全系统验证经理
1,上海,市场类,22967-大客户销售经理（上海）
3,深圳,技术类,22989-腾讯云物联网方向架构师（ 深圳/北京/上海）
1,深圳,技术类,22989-腾讯云物联网方向研发leader（深圳/北京/上海）
1,深圳,技术类,22989-腾讯云资深运营开发工程师（深圳）
1,深圳,技术类,HY1-Unreal游戏测试开发(深圳）
1,深圳,内容编辑类,21882-医学策划编辑
1,深圳,技术类,22989-腾讯云分布式块存储底层开发工程师（深圳）
1,深圳,技术类,22989-腾讯云块存储业务后台开发工程师（深圳）
1,深圳,技术类,22989-腾讯云KVM虚拟化及内核研发工程师（深圳）
1,深圳,产品/项目类,HY1-GAD高级项目经理（深圳）
1,深圳,技术类,HY1-移动客户端开发工程师（深圳）
1,深圳,技术类,HY1-android/ios音视频开发工程师（深圳）
1,深圳,产品/项目类,HY1-音频策划（上海）
1,深圳,产品/项目类,22025-沙盒游戏关卡策划（深圳）
1,深圳,技术类,24012-游戏社交IOS高级开发工程师（深圳）
1,深圳,技术类,24012-游戏社交Android高级开发工程师（深圳）
0,深圳,设计类,24012-特效剪辑师（深圳）
1,深圳,技术类,24012-游戏社交后台开发工程师（深圳）
1,深圳,设计类,15571-高级技术美术（深圳）
1,美国,产品/项目类,SD3-Project Manager (US)
1,深圳,技术类,TEG05-安全策略开发工程师（深圳）
1,上海,产品/项目类,15614-游戏运营活动策划（上海）
1,深圳,技术类,SNG17-QQ钱包Android开发工程师（深圳）
1,深圳,技术类,TEG12-IDC高级规划师(深圳）
1,深圳,技术类,22025-王者荣耀国际版-移动客户端开发工程师（深圳）
1,上海,设计类,15614-次世代3D角色设计师(上海）
1,深圳,产品/项目类,22989-腾讯云官网产品运营经理（深圳）
2,深圳,产品/项目类,22989-腾讯云官网产品运营（深圳）
5,深圳,职能类,20765-政府及公共事务经理
3,深圳,技术类,22989-腾讯云PAAS产品中心高级后端开发（深圳）
1,北京,市场类,21882-医学市场联络经理
1,上海,市场类,21882-医学市场联络经理
1,深圳,产品/项目类,SNG03-互动视频内容运营经理（深圳）
2,北京,市场类,24548-VI设计师
1,深圳,产品/项目类,21882-高级产品经理（医疗百科）
1,北京,产品/项目类,21882-高级产品经理（医疗百科）
1,北京,产品/项目类,MIG16-地图众包高级产品运营（北京）
1,北京,产品/项目类,MIG16-地图数据众包高级产品经理（北京）
1,深圳,技术类,18436-大数据开发高级工程师（深圳）
1,北京,技术类,MIG16-地图众包业务后台开发工程师（北京）
1,北京,技术类,MIG16-地图众包业务后台开发高级工程师（北京）
1,深圳,产品/项目类,22989-腾讯云中间件产品经理（深圳）
1,深圳,产品/项目类,22989-腾讯云加速高级产品策划经理（深圳/厦门）
1,深圳,技术类,22989-腾讯云音视频高级开发工程师（深圳）
1,深圳,技术类,22989-腾讯云CDN后台开发高级工程师（深圳）
1,深圳,技术类,22989-腾讯云CDN高级研发工程师（大数据方向）（深圳）
3,深圳,技术类,22989-腾讯云大数据方向后台开发高级工程师（深圳/北京/上海/成都）
1,深圳,技术类,22989-腾讯云高级业务运维工程师（深圳）
2,深圳,技术类,22989-腾讯云开发者服务后台开发工程师（深圳）
1,深圳,产品/项目类,22989-腾讯云开发者服务Devops项目经理（深圳）
3,成都,市场类,22990-互联网商务拓展（成都）
3,北京,市场类,22990-互联网+商务拓展（北京）
3,成都,市场类,22990-互联网+商务拓展（成都）
3,深圳,市场类,22990-互联网+商务拓展（深圳）
3,北京,市场类,22990-互联网商务拓展（北京）
3,深圳,市场类,22990-互联网商务拓展（深圳）
1,深圳,职能类,FC-行政采购商务经理
1,深圳,职能类,21645-互动娱乐法律顾问
1,深圳,设计类,17229-高级特效师
1,深圳,市场类,MIG15-腾讯叮当商务拓展经理
1,深圳,产品/项目类,21228-FIFA端游赛事运营（深圳）
1,上海,技术类,18796-本地化QA经理（上海）
1,深圳,技术类,HY2-自研游戏运维工程师（深圳）
1,深圳,产品/项目类,21228-FIFA端游官网策划（深圳）
2,北京,产品/项目类,OMG148-项目经理（北京）
1,北京,内容编辑类,22851-腾讯视频音乐中心项目策划（北京）
1,北京,设计类,15612-资深UI界面设计师（北京）
1,深圳,技术类,CS-c/c++后台开发工程师（深圳）
1,深圳,职能类,CG-采购流程管理
1,深圳,技术类,22989-大数据和人工智能（高级）研发总监（深圳/北京/上海/成都）
2,深圳,技术类,22989-大数据与人工智能运维工程师（深圳/成都）
2,深圳,市场类,22990-腾讯云渠道经理（深圳）
1,深圳,设计类,TEG07-CDC高级多媒体视觉设计师（深圳）
1,深圳,设计类,MIG03-手机浏览器设计组长（深圳）
1,深圳,产品/项目类,MIG03-外包业务项目经理（深圳）
1,深圳,产品/项目类,20718-平台产品经理（深圳）
1,深圳,产品/项目类,15774-项目经理（深圳）
2,深圳,技术类,TEG13-语音识别算法工程师（北京）
2,北京,职能类,高级舆情分析师（北京）
1,深圳,职能类,S2-税务专家（BG税管）
1,北京,产品/项目类,18402-移动游戏版本管理策划
1,深圳,产品/项目类,18402-产品/平台运营经理
1,深圳,产品/项目类,18402-移动游戏本地化策划
2,深圳,职能类,S2-IEG财务管理（深圳）
1,深圳,产品/项目类,23516-体育类手游市场渠道运营
1,北京,市场类,MIG05-商务拓展经理—行业拓展方向（北京）
2,深圳,技术类,SA-腾讯社交广告微信方向算法工程师（深圳）
2,北京,市场类,SA-腾讯社交广告SMB渠道运营经理（北京）
1,上海,技术类,20503-深度学习训练平台研发高级工程师（上海）
1,深圳,技术类,22989-腾讯云中间件高级后台开发工程师（深圳）
2,上海,市场类,OMG192-腾讯广告4A华东渠道经理（上海）
1,深圳,技术类,24111-java开发
1,深圳,技术类,22989-腾讯云平台后台高级工程师（深圳）
1,深圳,产品/项目类,22989-腾讯云DevOps产品经理（深圳）
1,深圳,产品/项目类,22989-云平台网站服务产品策划（深圳）
2,北京,设计类,MIG03-大屏浏览器视觉设计师
1,深圳,技术类,24111-医疗类高级算法工程师
1,深圳,技术类,24111-医疗类后台开发工程师
1,深圳,技术类,24111-前端开发工程师
1,深圳,技术类,24111-后台开发工程师
1,深圳,职能类,21645-SNG法务
1,北京,职能类,21645-SNG法务
2,深圳,技术类,15605-手游客户端开发工程师（深圳）
1,深圳,市场类,19511-腾讯游戏评测经理（深圳）
3,深圳,市场类,19511-腾讯游戏业务流程经理（深圳）
1,深圳,产品/项目类,15602-项目管理（深圳）
1,深圳,产品/项目类,MIG07-社群内容运营经理（深圳）
3,北京,技术类,MIG07-系统安全研究员（北京）
2,深圳,技术类,MIG07-手游助手PC客户端开发
1,深圳,技术类,MIG07-GO语言服务器端开发工程师（深圳）
1,北京,技术类,MIG07-企业安全流量还原工程师（北京）
2,深圳,技术类,MIG07-手游助手引擎开发
1,深圳,职能类,CB-高级福利经理(深圳)
2,深圳,技术类,23671-高级前端开发工程师（深圳）
2,上海,产品/项目类,15573-天天酷跑资深游戏策划（上海）
1,北京,技术类,MIG07-企业安全运营工程师（北京）
1,深圳,技术类,HY1-后台策略安全工程师（深圳）
1,深圳,技术类,TEG14-云数据库高级研发工程师（深圳）
2,深圳,技术类,TEG14-运营开发工程师（深圳）
1,深圳,职能类,ZNB-文化宣传专员（深圳）
2,北京,技术类,WXG08-113 微信模式识别推荐系统开发工程师（北京）
1,北京,技术类,23674-新闻短视频推荐算法组长
1,深圳,技术类,SA-腾讯社交广告测试开发工程师（深圳）
2,深圳,技术类,SNG04-视频推荐数据挖掘工程师（深圳）
1,上海,产品/项目类,21229-高级游戏业务商业分析经理（上海）
1,成都,设计类,15575-《王者荣耀》高级CG场景建模师（成都）
2,成都,产品/项目类,15575-《王者荣耀》文学策划（成都）
2,北京,设计类,OMG148-UI设计师（北京）
1,北京,市场类,OMG148-市场推广经理（北京）
1,北京,市场类,OMG148-运营经理（北京）
1,北京,市场类,OMG148-策划经理（北京）
2,北京,内容编辑类,OMG148-运营管理经理（北京）
2,北京,市场类,OMG148-商务拓展经理（北京）
1,上海,技术类,HY1-游戏客户端安全工程师（上海）
1,深圳,技术类,TEG10-规划工程师(深圳)
1,北京,技术类,TEG02-云网络系统设计师（北京）
1,深圳,技术类,TEG04-运营开发工程师（深圳）
1,深圳,产品/项目类,MIG06-智能硬件特色功能产品策划经理（深圳）
2,深圳,技术类,22989-腾讯云计费平台高级工程师（深圳）
1,深圳,设计类,TEG07-高级用户研究工程师（深圳）
5,深圳,技术类,TEG17-语音识别/合成研究员（深圳）
1,深圳,职能类,S2-风险管理及内部控制分析师(IT或数据分析方向)(深圳)
3,深圳,技术类,SNG06-企鹅电竞后台开发工程师（深圳）
2,深圳,产品/项目类,XN-竞猜产品运营经理
1,深圳,技术类,23294-web前端开发工程师（深圳）
1,深圳,市场类,23296-市场与用户研究经理（海外方向）(深圳)
3,深圳,市场类,23294-互娱游戏平台品牌经理（深圳）
1,深圳,市场类,23296-高级市场与用户研究经理（海外方向）(深圳)
1,深圳,技术类,23294-PHP开发工程师（深圳）
1,深圳,市场类,23295-互娱高级媒介经理（深圳）
1,深圳,设计类,23296-互娱视觉设计师(深圳)
1,深圳,市场类,23294-QQ炫舞手游品牌经理（深圳）
1,广州,技术类,WXG01-117 微信iOS客户端业务开发工程师（广州）
1,广州,技术类,WXG01-115 终端基础平台WEB前端开发高级工程师（广州）
1,广州,技术类,WXG01-117 微信iOS客户端开发工程师（广州）
1,深圳,职能类,SNG-HRBP（深圳）
1,深圳,产品/项目类,21228-移动游戏数据分析（深圳）
2,深圳,技术类,20718-智能硬件品质管理（深圳）
1,深圳,设计类,15605-火影忍者2D动画设计（深圳）
1,深圳,产品/项目类,19881-高级游戏数据分析（深圳）
1,深圳,市场类,23292-PGAME品牌经理（深圳）
2,深圳,产品/项目类,22989-广告/营销云（高级）产品经理（深圳/上海）
4,深圳,产品/项目类,22989-腾讯云制造行业产品经理（北京/上海/深圳/成都）
1,上海,技术类,22989-腾讯云广告/营销行业后台研发（高级）工程师（上海）
1,深圳,技术类,TEG02-网络系统架构师（深圳）
1,深圳,产品/项目类,19116-腾讯觅影数据分析高级产品经理（深圳）
1,深圳,产品/项目类,19116-腾讯觅影算法策略高级产品经理（深圳）
1,北京,产品/项目类,17759-游戏产品运营经理
1,深圳,设计类,MIG03-应用视觉设计师
1,上海,技术类,19332-企业产品Android开发（上海）
1,深圳,产品/项目类,19116-腾讯觅影医学专家（深圳）
1,深圳,设计类,SNG16-视觉UI设计（深圳）
1,深圳,技术类,MIG03-无线过程改进工程师（深圳）
2,深圳,市场类,22989-云计算行业分析师（北京/深圳）
2,深圳,产品/项目类,22989-腾讯云课程开发经理（深圳）
2,北京,市场类,22850-用户研究经理
1,深圳,产品/项目类,22989-腾讯云教育市场拓展经理
2,北京,市场类,22850-用户精细化运营经理
1,深圳,产品/项目类,22989-腾讯云官网运营经理（深圳）
1,深圳,产品/项目类,MIG10-微回收产品运营经理（深圳）
1,北京,市场类,MIG16-位置服务业务拓展经理（北京）
1,北京,产品/项目类,MIG16-位置大数据高级产品经理（北京）
2,北京,技术类,MIG16-开放平台IOS开发高级工程师（北京）
2,北京,技术类,MIG16-开放平台Android开发高级工程师（北京）
2,北京,技术类,MIG16-腾讯位置服务开放平台web前端工程师（北京）
1,深圳,技术类,TEG02-GPGPU高级研发工程师（深圳）
1,深圳,产品/项目类,TEG05-高级项目管理工程师（深圳）
2,深圳,内容编辑类,SNG01-QQ内容运营（深圳）
1,北京,产品/项目类,MIG16-定位NLP产品经理（北京）
1,北京,技术类,MIG16-定位SDK研发工程师（北京）
